tw04_function	tw04_address	size	tw2003_address
fn_8000C4E0	8000C4E0	B4	8000B9B0
UStream_StripStreamExt	8000CD60	8C	8000C144
Stream_OpenStreamFiles	8000E148	10C	8000D3E4
Stream_RegisterLoadChunkCallback	8000E2B0	A8	8000D528
Stream_UnregisterLoadChunkCallback	8000E358	188	8000D5D0
UStream_AllocBuffers	8000E4E0	3C	8000D758
fn_8000E830	8000E830	54	8000D9A0
fn_8000E884	8000E884	C4	8000D9F4
fn_8000E948	8000E948	60	8000DAB8
fn_8000E9A8	8000E9A8	74	8000DB18
fn_8001005C	8001005C	54	8000EEF4
fn_8001013C	8001013C	44	8000EF48
fn_8001049C	8001049C	90	8000F3B8
fn_80010544	80010544	48	8000F448
fn_8001058C	8001058C	7C	8000F490
fn_80010608	80010608	98	8000F50C
fn_80010760	80010760	60	8000F668
fn_80011034	80011034	12C	8000FF90
fn_800111D8	800111D8	104	80010134
UFont_LoadFontFromStream	800125BC	50	800113AC
UFont_FreeFont	80012820	48	800115E8
FO_chpCopyString	800128B0	48	80011654
UFont_FindFreeSlot	80012D04	84	8001198C
fn_80012FA4	80012FA4	8C	80011B14
fn_800130F8	800130F8	38	80011C60
fn_80013130	80013130	94	80011C98
fn_800131C4	800131C4	3C	80011D2C
fn_80013200	80013200	68	80011D68
fn_8001333C	8001333C	C4	80011EAC
fn_800137D0	800137D0	38	800F5770
fn_800142AC	800142AC	54	80012BFC
fn_80014300	80014300	7C	80012C50
fn_8001437C	8001437C	3C	80012CCC
fn_80015470	80015470	84	80013C30
fn_800154F4	800154F4	4C	80013CB4
fn_80016948	80016948	30	800151E8
fn_80016978	80016978	34	80015218
fn_80017508	80017508	A8	80016140
fn_800175B0	800175B0	C8	800161E8
fn_8001A75C	8001A75C	3C	80018DF4
fn_8001B58C	8001B58C	B8	80019AB0
fn_8001C21C	8001C21C	38	8001A8A0
fn_8001C650	8001C650	30	8001ACDC
fn_8001C680	8001C680	A4	8001AD0C
Character_SelectGameShotType	8001C724	50	8001ADB0
fn_8001D290	8001D290	94	8001B9A8
fn_8001D324	8001D324	60	8001BA3C
fn_8001D384	8001D384	68	8001BA9C
fn_8001D7A4	8001D7A4	48	8001C740
fn_8001D7EC	8001D7EC	F0	8001C788
fn_8001F6D8	8001F6D8	88	8001DB80
fn_8001FA3C	8001FA3C	6C	8001DECC
fn_8001FBA4	8001FBA4	68	8001E0B0
fn_800205F8	800205F8	D0	8001E9C0
Skalib_NextSlot	800227BC	64	80020370
AnimLib_FreeWorkCopies	80025238	108	80021F04
AnimLib_FreeCopies	80025340	A0	8002200C
fn_80025478	80025478	50	800220AC
AnimLib_SwapTree	80025DF8	140	80022B04
ClipBank_Load	800262CC	FC	80022FC0
AnimLib_OnLoaded	800263C8	F0	800230BC
ClipBank_Install	800264F0	8C	800231AC
fn_80026B4C	80026B4C	A8	800232B0
fn_800273BC	800273BC	BC	80024020
SKEL_RelaxIK	8002792C	38	80024718
SKEL_TransitionIK	80027964	5C	80024750
SKEL_TranslateIKChainY	80027E28	64	80024BEC
SKEL_FreeIKSkeleton	800284DC	88	80025390
fn_8002A3AC	8002A3AC	17C	8002832C
Golfer_ClampModifiers	8002AA74	318	800288B0
AI_RehearseShot	8002B030	56C	80028E70
AI_TargetsInit	8002BBB0	38	80029A34
AI_TargetsClear	8002BBE8	84	80029A6C
AI_NearestTarget	8002C230	AC	8002A1C4
AI_ClubLonger	8002CAC4	C8	8002AA20
AI_ClubShorter	8002CB8C	CC	8002AAE8
AI_PowerForTarget	8002D428	7C	8002B308
AI_PowerScale	8002D4A4	A0	8002B384
Luck_ResetAllOdds	8002D8C8	3C	8002B7CC
Luck_TightenOdds	8002D914	80	8002B818
Caddie_ApplyTip	8002DF88	3C	8002BE58
Players_SetupAll	8002E260	B0	8002C240
Players_Reset	8002E650	70	8002C5F0
fn_8002EBA4	8002EBA4	50	80030EDC
fn_8002F1D4	8002F1D4	8C	80031510
fn_8002F4FC	8002F4FC	44	80031844
fn_8002FE70	8002FE70	3C	800321B8
fn_8002FEB0	8002FEB0	88	800321F8
fn_8002FF38	8002FF38	5C	80032280
fn_80030040	80030040	5C	8003238C
fn_80037DD8	80037DD8	78	80039D78
fn_80037FB4	80037FB4	5C	80039F64
fn_80038314	80038314	94	8003A2F8
fn_800383A8	800383A8	90	8003A38C
fn_80038A2C	80038A2C	40	8003B1D4
fn_800392D0	800392D0	74	8003BF0C
fn_800394AC	800394AC	44	8003E328
fn_8003A76C	8003A76C	5C	8003F750
fn_8003CAFC	8003CAFC	84	800425A0
fn_8003CB80	8003CB80	54	80042624
fn_8003CBE8	8003CBE8	184	8004268C
fn_8003CD6C	8003CD6C	30	80042810
fn_8003CD9C	8003CD9C	150	80042840
fn_8003D054	8003D054	4C	80042AE4
fn_8003D0BC	8003D0BC	30	80042B4C
fn_8003D7A0	8003D7A0	70	800433EC
CamScript_AccelerateTime	8003F064	130	8004518C
CameraScript_SnapToScript	80043388	98	8004B2D0
CameraScript_DontUpdateCameraDuringSlowMo	80043920	C4	8004BC5C
fn_80044AA8	80044AA8	64	8004D790
fn_80044B0C	80044B0C	64	8004D7F4
fn_80044B70	80044B70	64	8004D858
fn_80044E74	80044E74	34	8004DB4C
fn_800467B4	800467B4	74	8004EA48
fn_80048808	80048808	58	800516B0
fn_80048AF4_DynObjAlloc	80048AF4	7C	80051C20
fn_80048E4C	80048E4C	30	80051F88
fn_80048E7C	80048E7C	78	80051FB8
fn_80048EF4	80048EF4	74	80052030
fn_80048F68	80048F68	84	800520A4
fn_80049018	80049018	A0	80052154
fn_800490B8	800490B8	34	800521F4
fn_800490EC	800490EC	D8	80052228
fn_800491C4	800491C4	6C	80052300
fn_80049304	80049304	98	80052448
fn_800494AC	800494AC	60	800525F0
fn_800496E0	800496E0	48	800528B0
fn_800497BC	800497BC	64	8005298C
fn_800499B0	800499B0	64	80052B08
fn_80049A14	80049A14	40	80052B6C
fn_80049ACC	80049ACC	74	80052C64
fn_8004AAEC	8004AAEC	A4	80053FB8
fn_8004AD54	8004AD54	88	80054274
fn_8004AF2C	8004AF2C	74	800544CC
fn_8004B1A4	8004B1A4	48	80054850
fn_8004B6F8	8004B6F8	94	80054E58
Ter_IsValidDropSurface	8004C798	54	8005661C
Ter_GetSupportingWorldMaterial	8004D838	58	800589E4
Ter_GetEnclosingGroundHeight	8004D9A8	38	80058C20
fn_80050BEC	80050BEC	40	8005CF38
Physics_OutOfBounds	80050CAC	78	8005D008
fn_80050F44	80050F44	44	8005D364
Physics_EstimateShotPower	80050F88	164	8005D3A8
Physics_GetLiePowerPercentage	800510EC	38	8005D50C
fn_80051C84	80051C84	4C	8005E2A4
Physics_FixBallHeight	8005418C	1B4	80061B1C
Physics_StopBall	80054340	110	80061CD0
Wind_Set	80055F88	40	800646B8
fn_80058E40	80058E40	58	8008CE84
Pad_State	80058EB8	4C	8008CEFC
fn_80058F5C	80058F5C	48	8008CFA0
SW_vInitSwing	80058FA4	AC	8008CFE8
SW_vClearBoosts	8005BFC0	5C	800907D0
fn_8005C15C	8005C15C	90	800908E0
Swing_SpinScale	8005C418	9C	80090B38
Swing_ApplySpin	8005C4B4	138	80090BD4
GOLFERSTATE_CloseONCE	8005CD94	DC	80091244
GOLFERSTATE_Kill	8005CE70	DC	80091320
GOLFERSTATE_Push	8005CF4C	88	800913FC
GOLFERSTATE_Pop	8005CFD4	88	80091484
GOLFERSTATE_Set	8005D05C	12C	8009150C
GOLFERSTATE_Switch	8005D188	F0	80091638
fn_8005D2F8	8005D2F8	50	800917A0
fn_8005D348	8005D348	60	800917F0
fn_8005D3A8	8005D3A8	A4	80091850
STATEFUNC_GreenUpdate	8005F840	90	80094050
STATEFUNC_GreenWatchRollInit	8005F978	10C	80094188
STATEFUNC_GreenWatchRollExit	8005FCC8	E0	800945A4
STATEFUNC_GreenReversePuttInit	8005FDA8	5C	80082F68
STATEFUNC_KneeCamInit	8005FF30	64	80094684
STATEFUNC_KneeCamExit	8006014C	9C	800948A0
STATEFUNC_ShowYardageExit	80061408	50	80095CAC
STATEFUNC_FadeToRemoveBallUpdate	800619B8	98	800962FC
STATEFUNC_WaitInit	80061FB0	74	800969D4
fn_80062E40	80062E40	DC	800975F8
StaticCam_SetupFlybyCameraPointers	8006596C	88	800A49D0
fn_80065C30	80065C30	3C	80012CCC
PlaceBall_CheckInBounds	80069428	70	800ABD40
fn_8006ACF8	8006ACF8	70	800ADA40
fn_8006AE50	8006AE50	268	800ADBA8
fn_8006B250	8006B250	74	800AE038
REPLAY_GetSpin	8006C2C8	38	800AFDFC
fn_8006C854	8006C854	98	800B0278
fn_8006D7E8	8006D7E8	50	800B15C8
fn_8006E424	8006E424	3C	800B1DB0
fn_8006ED70	8006ED70	50	800B2AA8
fn_8006EDC0	8006EDC0	1F8	800B2AFC
fn_8006F608	8006F608	44	800B3134
fn_8006FB10	8006FB10	E8	800B3658
fn_8006FBF8	8006FBF8	CC	800B3740
fn_8006FCDC	8006FCDC	F0	800B3814
fn_8006FDD4	8006FDD4	70	800B390C
fn_8006FE44	8006FE44	90	800B397C
fn_80071B94	80071B94	94	800B628C
fn_800723E8	800723E8	D8	800B6974
fn_800725BC	800725BC	50	800B6B78
fn_8007286C	8007286C	6C	800B6E54
fn_800728D8	800728D8	60	800B6EC0
fn_80072938	80072938	48	800B6F20
fn_80072D90	80072D90	148	800B73B0
fn_800734A0	800734A0	30	800B7B68
fn_800734D0	800734D0	84	800B7B98
fn_800740F4	800740F4	534	800B828C
fn_80074A24	80074A24	1BC	800B8C6C
fn_800752DC_PreloadQueue	800752DC	40	800B94F0
fn_800754C0	800754C0	130	800B96F4
fn_800757B8	800757B8	48	800B9B40
fn_80075800	80075800	80	800B9B88
fn_800758B4	800758B4	50	800B9C3C
fn_80075904	80075904	38	800B9C8C
LLVideo_HandleChunk	8007593C	60	800B9CC4
fn_80076BF0	80076BF0	30	800BD6F4
fn_80076D68	80076D68	B0	800BD874
fn_80076FDC	80076FDC	54	800BDB1C
FE_MakeMoviePath	80077030	3C	800BDB70
fn_8007706C	8007706C	40	800BDBAC
fn_8007739C	8007739C	5C	800BDE78
fn_8007BCC4	8007BCC4	54	800BF8F8
fn_8007BD44	8007BD44	40	800BF978
fn_8007C190	8007C190	68	800C000C
fn_8007C6E4	8007C6E4	64	800C0428
fn_8007C7EC	8007C7EC	30	800C055C
fn_8007CA4C	8007CA4C	80	800C0750
fn_8007CC0C	8007CC0C	84	800C0850
fn_8007CE20	8007CE20	38	800C0B18
fn_8007D028	8007D028	B8	800C0D80
fn_8007E358	8007E358	7C	800C2AF8
fn_8007E3D4	8007E3D4	84	800C2B74
fn_8007E93C	8007E93C	64	800C3444
fn_8007ED88	8007ED88	54	800C38A4
fn_8007EDDC	8007EDDC	64	800C38F8
fn_800804E4	800804E4	48	800C5D10
fn_80081530	80081530	B0	800C6BD4
fn_80082708	80082708	50	800C7CE0
fn_80082790	80082790	40	800C7D68
fn_8008299C	8008299C	38	800C7F7C
fn_80082A10	80082A10	34	800C7FF0
fn_80082CA8	80082CA8	34	800C8254
fn_80082DBC	80082DBC	54	800C836C
fn_80083430	80083430	50	800C8A0C
fn_80084258	80084258	30	800CB748
fn_80085E20	80085E20	13C	800C966C
fn_800860C8	800860C8	C4	800C97A8
fn_80086300	80086300	3C	800C9914
fn_80086460	80086460	40	800C9A78
fn_8008685C	8008685C	8C	800C9F1C
fn_800869A4	800869A4	2D4	800CA044
fn_80086D58	80086D58	84	800CA3F8
fn_80087420	80087420	40	800CA970
fn_80087510	80087510	38	800CAA38
fn_80087790	80087790	3C	800CAD40
fn_80087BE8	80087BE8	34	800CB058
fn_800880D0	800880D0	90	800CB524
fn_80088208	80088208	34	800CB65C
fn_800882F4	800882F4	30	800CB748
fn_80088428	80088428	4C	800CB80C
fn_80088474	80088474	7C	800CB858
fn_800884F0	800884F0	48	800CB8D4
fn_800885F8	800885F8	3C	800CB9D8
fn_80088660	80088660	D0	800CBA40
fn_800887C4	800887C4	40	800CBB4C
fn_800894E8	800894E8	9C	800CC838
fn_80089590	80089590	70	800CC8E0
fn_80089A50	80089A50	3C	800CCC58
fn_80089AD4	80089AD4	A4	800CCD00
fn_8008A188	8008A188	40	800C7D68
fn_8008A1C8	8008A1C8	40	800C7D68
fn_8008A964	8008A964	3C	801014A0
fn_8008A9E8	8008A9E8	C4	800C97A8
fn_8008EC30	8008EC30	30	800D6058
fn_8008EC68	8008EC68	C0	800D6090
fn_8008ED28	8008ED28	58	800D6150
fn_8008EFC0	8008EFC0	3C	800D62EC
fn_8008F0FC	8008F0FC	60	800D642C
fn_8008F194	8008F194	70	800D64C4
fn_8008F568	8008F568	A8	800D6754
fn_8008F610	8008F610	34	800D67FC
fn_8008FD60	8008FD60	7C	800D7010
fn_80090664	80090664	38	800D78C8
fn_800907AC	800907AC	E4	800D7A00
fn_800909B4	800909B4	40	800D7B6C
fn_800909F4	800909F4	6C	800D7BAC
fn_80090B10	80090B10	70	800D7CC8
fn_80091870	80091870	34	800D8B8C
fn_80091B98	80091B98	44	800D8EC8
fn_80092198	80092198	74	800D9640
fn_80094214	80094214	60	800DB6F4
fn_80094B84	80094B84	2B0	800DC2B8
TI_vInitModule	800952D8	8C	800DC9F0
TI_sRead	80095368	60	800DCA80
TI_sStopCounter	80095444	60	800DCB5C
TI_sReadCounter	800954A4	60	800DCBBC
fn_80095744	80095744	3C	800DD664
CharacterState_UpdateGameEmotionState	80096530	AC	800DE544
CharacterState_SetTapInState	800965DC	B4	800DE5F0
fn_80096F0C	80096F0C	2AC	800DEED0
fn_800975B0	800975B0	4C	800DF4BC
fn_80097624	80097624	64	800DF530
_EndGlowStrip	80098004	98	800DFC8C
fn_80098350	80098350	B8	800DFFF4
fn_8009884C	8009884C	38	800E04F8
fn_80098C70	80098C70	6C	800E0D54
fn_80099344	80099344	F8	800E1664
DEMO_Restore	8009A1F4	5C	800E25C4
fn_8009A250	8009A250	F0	800E6E68
SF_vCloseModule	8009B0D0	64	800E8F80
fn_8009B134	8009B134	58	800E8FE4
fn_8009B340	8009B340	98	800E926C
fn_8009B4B4	8009B4B4	74	800E94B0
fn_8009B528	8009B528	54	800E9524
fn_8009B57C	8009B57C	40	800E9578
fn_8009CDA0	8009CDA0	158	800EB1C0
fn_8009D010	8009D010	C4	800EB430
fn_8009D6CC	8009D6CC	5C	800EB8B4
fn_8009DCEC	8009DCEC	58	800EBE60
fn_8009DFD8	8009DFD8	158	800EC2D4
fn_8009E130	8009E130	150	800EC42C
fn_8009E360	8009E360	11C	800EC65C
fn_8009E544	8009E544	C0	800EC840
fn_8009EAF0	8009EAF0	40	800ECEB0
fn_8009ED34	8009ED34	F4	800ED138
fn_8009F780	8009F780	64	800ED3CC
MC_LoadInitialUser	8009F850	78	800ED4C8
MC_StringLength	800A19F8	30	800EF66C
MC_SkipToNextLine	800A1A90	98	800EF6E0
MC_CountSlusNumbers	800A1B28	6C	800EF778
MC_CountTitles	800A1B94	4C	800EF7E4
MC_FreeEAGameList	800A1BE0	78	800EF830
MC_TalleyEATitlesFound	800A2030	34	800EFC64
fn_800A2100	800A2100	8C	800EFD04
MC_FillCRCTable	800A253C	C8	800EFF94
fn_800A2A80	800A2A80	B4	800F03E8
fn_800A2B34	800A2B34	74	800F049C
fn_800A2BBC	800A2BBC	4C	800F0524
fn_800A2C08	800A2C08	34	800F0570
fn_800A3E3C	800A3E3C	FC	800F1C50
fn_800A3F58	800A3F58	3C	800F1D6C
fn_800A3FF4	800A3FF4	38	800F1E08
fn_800A4044	800A4044	3C	800F1E5C
fn_800A4170	800A4170	34	800F1FA0
fn_800A42B0	800A42B0	C4	800F2180
fn_800A4928	800A4928	7C	800F278C
fn_800A49A4	800A49A4	80	800F2808
fn_800A4C54	800A4C54	64	800F2A94
fn_800A4FD8	800A4FD8	34	800F2DA4
fn_800A6148	800A6148	7C	800F3FA4
fn_800A6EC8	800A6EC8	70	800F4CA4
fn_800A6F38	800A6F38	A8	800F4D14
fn_800A6FE0	800A6FE0	9C	800F4DBC
fn_800A70E4	800A70E4	68	800F4EC0
fn_800A714C	800A714C	4C	800F4F28
fn_800A7198	800A7198	4C	800F4F74
fn_800A71E4	800A71E4	3C	800F4FC0
fn_800A7220	800A7220	74	800F4FFC
fn_800A7294	800A7294	58	800F5070
fn_800A7350	800A7350	70	800F5154
fn_800A73C0	800A73C0	30	800F51C4
fn_800A75B4	800A75B4	40	800F5294
fn_800A75F4	800A75F4	50	800F52D4
fn_800A76E4	800A76E4	3C	800F5444
fn_800A7770	800A7770	70	800F54D0
fn_800A7A34	800A7A34	64	800F570C
fn_800A7A98	800A7A98	38	800F5770
fn_800A8248	800A8248	84	800F5DF4
fn_800A8524	800A8524	60	800F60C8
fn_800A8604	800A8604	AC	800F6170
fn_800A86BC	800A86BC	44	800F6228
Mas_SetSubmixAll	800A871C	30	800F6288
fn_800A87D8	800A87D8	4C	800F6344
Mov_Exit	800A8934	B4	800F64A4
Mov_Start	800A89E8	EC	800F6558
Mov_Tick	800A8C44	BC	800F6770
fn_800A8D54	800A8D54	34	800F687C
Ses_Init	800A8DC8	1A0	800F68F0
fn_800A8F68	800A8F68	4C	800F6A90
fn_800A8FB4	800A8FB4	48	800F6ADC
fn_800A8FFC	800A8FFC	260	800F6B24
InsertSortWorldPerf	800A9808	AC	800F7268
fn_800A9A50	800A9A50	74	800F74B0
Trk_Cycle	800A9AC8	100	800F7528
Trk_FreePerf	800A9D7C	100	800F77E0
Trk_Start	800AA0D8	40	800F7B40
Trk_Stop	800AA118	A0	800F7B80
Trk_StopAllVoices	800AA1B8	EC	800F7C20
Trk_Tick	800AA2A4	48	800F7D0C
Trk_VoiceEndCB	800AA400	44	800F7E50
fn_800AA618	800AA618	7C	800F8014
fn_800AA698	800AA698	AC	800F8094
fn_800AAAA4	800AAAA4	A4	800F84CC
fn_800AAB48	800AAB48	44	800F8570
fn_800AAB8C	800AAB8C	74	800F85B4
fn_800AAC00	800AAC00	78	800F8628
fn_800AAC78	800AAC78	44	800F86A0
fn_800AACBC	800AACBC	3C	800F86E4
fn_800AAD18	800AAD18	D0	800F8740
fn_800AAE90	800AAE90	5C	800F88E0
fn_800AB118	800AB118	34	800F8B70
fn_800AB14C	800AB14C	6C	800F8BA4
CheckQueue	800AB3A4	84	800F8D98
fn_800ABC54	800ABC54	48	800F9418
Stm_Start	800ABD0C	70	800F950C
Stm_Stop	800ABD7C	34	800F957C
fn_800AC330	800AC330	140	800F9B6C
Voc_Pause	800ACA5C	38	800FA28C
Voc_Stop	800ACA94	94	800FA2C4
Voc_Delete	800ACB28	70	800FA358
Voc_Cycle	800ACB98	15C	800FA3C8
Voc_PauseAll	800ACCF4	144	800FA524
fn_800ACE38	800ACE38	8C	800FA668
fn_800ACECC	800ACECC	1F8	800FA6F4
fn_800AD0C4	800AD0C4	100	800FA8EC
fn_800AD1C8	800AD1C8	B8	800FA9F0
fn_800ADF08	800ADF08	64	800FB670
fn_800ADF6C	800ADF6C	A0	800FB6D4
fn_800AE338	800AE338	48	800FBC78
fn_800AE3C4	800AE3C4	34	800FBD04
fn_800AF144	800AF144	E0	800FD3A8
fn_800AF2DC	800AF2DC	40	800FD52C
fn_800AF93C	800AF93C	80	800FDB8C
fn_800AFAB0	800AFAB0	98	800FDCF8
fn_800AFB50	800AFB50	48	800FDD98
fn_800AFB98	800AFB98	40	800FDDE0
fn_800AFCBC	800AFCBC	D0	800FDF04
fn_800B0624	800B0624	3C	800FE7CC
fn_800B0660	800B0660	38	800FE808
fn_800B0698	800B0698	34	800FE840
fn_800B06F4	800B06F4	54	800FE89C
fn_800B07A0	800B07A0	B8	800FE948
fn_800B0858	800B0858	FC	800FEA00
fn_800B1180	800B1180	8C	800FF2EC
fn_800B120C	800B120C	F0	800FF378
fn_800B12FC	800B12FC	100	800FF468
fn_800B13FC	800B13FC	E8	800FF568
fn_800B2150	800B2150	3C	801014A0
fn_800B2470	800B2470	60	80101768
fn_800B24E0	800B24E0	3C	801017D8
fn_800B34F0	800B34F0	3C	8010332C
fn_800B3D68	800B3D68	1E4	80103ACC
fn_800B3F9C	800B3F9C	16C	80103EF8
fn_800B4F24	800B4F24	80	80106524
fn_800B5934	800B5934	38	80107170
fn_800B5B2C	800B5B2C	54	80107364
fn_800B5B80	800B5B80	58	801073B8
GoARAM_HeapMergeFreeBlock	800B5F8C	A8	801077B8
GoARAM_BlockRemove	800B60B0	40	801078DC
GoARAM_BlockInsertSorted	800B60F0	98	8010791C
GoARAM_Shutdown	800B64D8	84	80107CD8
GoARAM_Alloc	800B6564	30	80107D64
fn_800B6C14	800B6C14	BC	80108694
fn_800B6CD8	800B6CD8	CC	80108758
fn_800B6DA4	800B6DA4	78	80108824
fn_800B6E1C	800B6E1C	1B0	8010889C
fn_800B7DF4	800B7DF4	44	8010979C
fn_800B8AA0	800B8AA0	1B4	8010A5B4
fn_800B8F28	800B8F28	1CC	8010AB44
fn_800B920C	800B920C	80	8010AE2C
fn_800BA940	800BA940	10C	8010DAF4
fn_800BB218	800BB218	30	800A6CD8
SitDev_GetCommentaryZones	800BB6FC	B0	800A6D08
GolfCamera_InitSteepSlopeCamera	800BEEB0	78	8009B668
fn_800C34F8	800C34F8	44	8009FD58
fn_800C6B38	800C6B38	44	800A2A20
fn_800C7970	800C7970	4C	800A503C
Ter_GetSupportingGroundMaterial	800CC190	5C	8005895C
fn_800D0D54	800D0D54	74	80067D44
fn_800D1C38	800D1C38	64	8006503C
fn_800D2C30	800D2C30	38	8006969C
fn_800D3244	800D3244	164	80069AE0
GM_GetHighestRatedGolfer	800D3C1C	60	8006A84C
fn_800D4694	800D4694	54	8006B0B0
fn_800D46E8	800D46E8	94	8006B104
fn_800DAD54	800DAD54	6C	80105ED0
fn_800DADC0	800DADC0	84	80105F3C
fn_800DAE44	800DAE44	40	8003C1C8
fn_800DBF34	800DBF34	78	8003D378
fn_800DC18C	800DC18C	104	8003D79C
GameEffects_FieldOfViewChange	800DC3A4	B8	8003DB9C
fn_800DC498	800DC498	7C	8003DC90
GameEffects_SetSuperSlowMo	800DC524	140	8003DD1C
fn_800DC9D4	800DC9D4	C0	8003E1CC
GameEffects_GetLetterboxHeight	800DCA94	44	8003E28C
fn_800DCC30	800DCC30	40	80071600
GM_GotoNextSelectedHole	800DCC70	9C	80071640
GM_HoleFinished_GameNotFinished	800DD1E0	C8	80071B3C
GM_CheckBallForUIHints	800DD728	160	80071FA8
GM_ShowPostShotCrowdFlyby	800DE7D8	50	80072DC4
GM_FlyByMode_Init	800DE828	68	80072E14
GM_Update	800DE890	A0	80072E7C
GM_ReplaceOOBBall	800DEA44	118	80072FE4
fn_800DEB5C	800DEB5C	D8	800730FC
fn_800DFC18	800DFC18	54	800740AC
fn_800DFF0C	800DFF0C	EC	80074388
fn_800E012C	800E012C	D4	800745A8
fn_800E1260	800E1260	1A4	80074E4C
fn_800E1404	800E1404	30	80074FF0
fn_800E1434	800E1434	4C	80075020
fn_800E16F4	800E16F4	40	80075270
fn_800E1734	800E1734	48	800752B0
fn_800E1BBC	800E1BBC	EC	80075704
fn_800E1CA8	800E1CA8	40	800757F0
fn_800E23B0	800E23B0	3C	80075EA0
fn_800E2470	800E2470	B0	80075F68
GameManager_GetHoleName	800E276C	3C	800761E0
fn_800E27C0	800E27C0	50	80076234
fn_800E295C	800E295C	40	80076348
fn_800E2A88	800E2A88	B8	8007649C
fn_800E2B40	800E2B40	64	80076554
fn_800E2EAC	800E2EAC	68	800767CC
fn_800E3D38	800E3D38	58	800772E4
fn_800E3D90	800E3D90	4C	8007733C
fn_800E3DDC	800E3DDC	30	80077388
fn_800E430C	800E430C	58	80077880
fn_800E5DA0	800E5DA0	44	80078BC8
fn_800E60E4	800E60E4	8C	80078EE4
fn_800E83F8	800E83F8	B8	800844E8
GameModeFourBall_Init	800E8D58	CC	80079620
fn_800EBD28	800EBD28	38	8007B578
fn_800ED5C8	800ED5C8	3C	8007CC6C
fn_800ED604	800ED604	4C	8007CCA8
fn_800ED738	800ED738	158	8007CD8C
fn_800ED908	800ED908	6C	8007CF4C
fn_800EDA34	800EDA34	40	8007D058
fn_800EDA74	800EDA74	6C	8007D098
fn_800F0448	800F0448	D0	80068818
GameModeDriverRTE_UnregisterStreamClients	800F0570	40	800ECEB0
fn_800F0678	800F0678	64	80068CF8
GameModeReplay_Init	800F125C	12C	8007D33C
GameModeReplay_LoadHole	800F1388	7C	8007D468
fn_800F1BD8	800F1BD8	5C	800BB734
fn_800F1C34	800F1C34	40	800BB790
fn_800F1E58	800F1E58	8C	800BBC70
fn_800F3358	800F3358	78	800E6844
fn_800F3438	800F3438	58	800E6924
fn_800F354C	800F354C	F0	800E6A28
fn_800F3668	800F3668	3C	800E6B44
fn_800F3828	800F3828	38	800E6D14
fn_800F392C	800F392C	54	800E6E14
fn_800F46E4	800F46E4	38	801007BC
fn_800F4784	800F4784	54	8010085C
fn_800F4F40	800F4F40	D4	800E41B0
fn_800F56D4	800F56D4	A8	800E4A10
fn_800F57C8	800F57C8	40	800E4B04
fn_800F5870	800F5870	44	800E4BAC
fn_800F5AAC	800F5AAC	21C	800E3DD0
fn_800F66A0	800F66A0	9C	800E59F4
fn_800F6788	800F6788	58	800E5ADC
fn_800F6848	800F6848	7C	800E5B9C
fn_800F6A60	800F6A60	264	800E2620
GameModeSkins_Init	800F80FC	F0	8007DAF4
fn_800F9328	800F9328	B0	8007EDAC
fn_800F93D8	800F93D8	3C	8007EE5C
fn_800F9414	800F9414	38	8007EE98
fn_800F944C	800F944C	1C4	8007EED0
